RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,Index
25,12,0,-243.08,4.719,13.23,A2356raw14.mat_Line1324
25,12,0,-240.14,4.845,13.24,A2356raw14.mat_Line1325
25,12,-0,-238.31,4.964,13.25,A2356raw14.mat_Line1326
25,12,0,-238.24,5.097,13.26,A2356raw14.mat_Line1327
25,12,0,-240.13,5.216,13.27,A2356raw14.mat_Line1328
25,12,0,-243.49,5.327,13.28,A2356raw14.mat_Line1329
25,12,0,-248.58,5.563,13.3,A2356raw14.mat_Line1331
25,12,0,-249.44,5.685,13.31,A2356raw14.mat_Line1332
25,12,0,-248.18,5.811,13.32,A2356raw14.mat_Line1333
25,12,0,-245.03,5.921,13.33,A2356raw14.mat_Line1334
25,12,0,-242.22,6.045,13.34,A2356raw14.mat_Line1335
25,12,0,-238.42,6.156,13.35,A2356raw14.mat_Line1336
25,12,0,-236.83,6.273,13.36,A2356raw14.mat_Line1337
25,12,-0,-237.3,6.388,13.37,A2356raw14.mat_Line1338
25,12,0,-239.09,6.508,13.38,A2356raw14.mat_Line1339
25,12,0,-242.12,6.635,13.39,A2356raw14.mat_Line1340
25,12,0,-248.88,6.867,13.41,A2356raw14.mat_Line1342
25,12,0,-250.42,6.993,13.42,A2356raw14.mat_Line1343
25,12,0,-250.27,7.121,13.43,A2356raw14.mat_Line1344
25,12,0,-247.63,7.24,13.44,A2356raw14.mat_Line1345
25,12,-0,-244.04,7.367,13.45,A2356raw14.mat_Line1346
25,12,0,-239.13,7.612,13.47,A2356raw14.mat_Line1348
25,12,0,-238.75,7.729,13.48,A2356raw14.mat_Line1349
25,12,0,-241.06,7.848,13.49,A2356raw14.mat_Line1350
25,12,0,-244.33,7.97,13.5,A2356raw14.mat_Line1351
25,12,0,-254.31,8.336,13.53,A2356raw14.mat_Line1354
25,12,0,-253.81,8.455,13.54,A2356raw14.mat_Line1355
25,12,0,-248.35,8.681,13.56,A2356raw14.mat_Line1357
25,12,0,-244.34,8.799,13.57,A2356raw14.mat_Line1358
25,12,0,-242.38,9.157,13.6,A2356raw14.mat_Line1361
25,12,0,-245.7,9.278,13.61,A2356raw14.mat_Line1362
25,12,0,-249.91,9.397,13.62,A2356raw14.mat_Line1363
25,12,0,-255.61,9.649,13.64,A2356raw14.mat_Line1365
25,12,0,-255.71,9.767,13.65,A2356raw14.mat_Line1366
25,12,0,-253.64,9.881,13.66,A2356raw14.mat_Line1367
25,12,0,-242.82,10.255,13.69,A2356raw14.mat_Line1370
25,12,0,-242.77,10.484,13.71,A2356raw14.mat_Line1372
25,12,0,-246.12,10.617,13.72,A2356raw14.mat_Line1373
25,12,0,-249.59,10.719,13.73,A2356raw14.mat_Line1374
25,12,0,-253.22,10.841,13.74,A2356raw14.mat_Line1375
25,12,0,-254.69,10.957,13.75,A2356raw14.mat_Line1376
25,12,0,-253.86,11.194,13.77,A2356raw14.mat_Line1378
25,12,0,-250.32,11.305,13.78,A2356raw14.mat_Line1379
25,12,0,-246.88,11.392,13.79,A2356raw14.mat_Line1380
25,12,0,-243.68,11.495,13.8,A2356raw14.mat_Line1381
25,12,0,-241.99,11.591,13.81,A2356raw14.mat_Line1382
25,12,0,-244.55,11.737,13.83,A2356raw14.mat_Line1384
25,12,0,-248.02,11.788,13.84,A2356raw14.mat_Line1385
25,12,0,-251.21,11.844,13.85,A2356raw14.mat_Line1386
25,12,0,-254.21,11.889,13.86,A2356raw14.mat_Line1387
25,12,0,-255.71,11.93,13.87,A2356raw14.mat_Line1388
25,12,0,-256.06,11.939,13.88,A2356raw14.mat_Line1389
25,12,0,-254.5,11.965,13.89,A2356raw14.mat_Line1390
25,12,0,-253.48,11.955,13.9,A2356raw14.mat_Line1391
25,12,0,-250.44,11.939,13.91,A2356raw14.mat_Line1392
25,12,0,-247.72,11.909,13.92,A2356raw14.mat_Line1393
25,12,0,-245.9,11.873,13.93,A2356raw14.mat_Line1394
25,12,0,-245.64,11.83,13.94,A2356raw14.mat_Line1395
25,12,0,-247.61,11.778,13.95,A2356raw14.mat_Line1396
25,12,-0,-250.69,11.711,13.96,A2356raw14.mat_Line1397
25,12,0,-252.65,11.645,13.97,A2356raw14.mat_Line1398
25,12,-0,-254.89,11.554,13.98,A2356raw14.mat_Line1399
25,12,0,-254.96,11.475,13.99,A2356raw14.mat_Line1400
25,12,0,-252.53,11.372,14,A2356raw14.mat_Line1401
25,12,0,-249.56,11.272,14.01,A2356raw14.mat_Line1402
25,12,0,-246.48,11.171,14.02,A2356raw14.mat_Line1403
25,12,0,-244.6,11.054,14.03,A2356raw14.mat_Line1404
25,12,0,-244.44,10.927,14.04,A2356raw14.mat_Line1405
25,12,0,-245.96,10.812,14.05,A2356raw14.mat_Line1406
25,12,0,-252.2,10.553,14.07,A2356raw14.mat_Line1408
25,12,0,-254.84,10.428,14.08,A2356raw14.mat_Line1409
25,12,0,-255.94,10.301,14.09,A2356raw14.mat_Line1410
25,12,0,-255.92,10.175,14.1,A2356raw14.mat_Line1411
25,12,0,-254.01,10.043,14.11,A2356raw14.mat_Line1412
25,12,0,-250.5,9.911,14.12,A2356raw14.mat_Line1413
25,12,0,-247.54,9.791,14.13,A2356raw14.mat_Line1414
25,12,0,-245.06,9.675,14.14,A2356raw14.mat_Line1415
25,12,0,-244.36,9.555,14.15,A2356raw14.mat_Line1416
25,12,0,-245.92,9.439,14.16,A2356raw14.mat_Line1417
25,12,0,-248.68,9.346,14.17,A2356raw14.mat_Line1418
25,12,0,-251.16,9.223,14.18,A2356raw14.mat_Line1419
25,12,0,-254.04,9.128,14.19,A2356raw14.mat_Line1420
25,12,0,-255.44,9.035,14.2,A2356raw14.mat_Line1421
25,12,0,-255.99,8.942,14.21,A2356raw14.mat_Line1422
25,12,0,-253.83,8.837,14.22,A2356raw14.mat_Line1423
25,12,0,-251.74,8.763,14.23,A2356raw14.mat_Line1424
25,12,0,-248.2,8.68,14.24,A2356raw14.mat_Line1425
25,12,0,-245.3,8.603,14.25,A2356raw14.mat_Line1426
25,12,0,-244.62,8.521,14.26,A2356raw14.mat_Line1427
25,12,0,-244.84,8.437,14.27,A2356raw14.mat_Line1428
25,12,0,-246.74,8.366,14.28,A2356raw14.mat_Line1429
25,12,0,-249.63,8.282,14.29,A2356raw14.mat_Line1430
25,12,0,-252.51,8.203,14.3,A2356raw14.mat_Line1431
25,12,0,-255.4,8.114,14.31,A2356raw14.mat_Line1432
25,12,0,-255.95,8.026,14.32,A2356raw14.mat_Line1433
25,12,0,-255.09,7.947,14.33,A2356raw14.mat_Line1434
