RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index
25,12,0,-250.07,-0.092,15.32,-67.83,A2356raw6.mat_Line1533
25,12,0,-248.38,-0.179,15.33,-54.94,A2356raw6.mat_Line1534
25,12,0,-248.84,-0.25,15.35,-49.3,A2356raw4.mat_Line1536
25,12,-0,-248.02,-0.339,15.36,-35.33,A2356raw4.mat_Line1537
25,12,0,-249.08,-0.424,15.37,-21.99,A2356raw4.mat_Line1538
25,12,0,-252.79,-0.598,15.38,-0.56,A2356raw6.mat_Line1539
25,12,0,-252.08,-0.693,15.39,11.08,A2356raw6.mat_Line1540
25,12,0,-250.14,-0.763,15.4,24.13,A2356raw6.mat_Line1541
25,12,0,-247.28,-0.832,15.41,37.96,A2356raw6.mat_Line1542
25,12,0,-243.67,-0.908,15.42,52.42,A2356raw6.mat_Line1543
25,12,0,-250.37,-0.902,15.43,51.03,A2356raw4.mat_Line1544
25,12,0,-246.14,-0.975,15.44,66.74,A2356raw4.mat_Line1545
25,12,0,-241.63,-1.057,15.45,83.22,A2356raw4.mat_Line1546
25,12,0,-239.38,-1.217,15.46,104.88,A2356raw6.mat_Line1547
25,12,0,-240.37,-1.291,15.47,115.87,A2356raw6.mat_Line1548
25,12,0,-241.43,-1.386,15.48,126.39,A2356raw6.mat_Line1549
25,12,0,-242.09,-1.466,15.49,137.54,A2356raw6.mat_Line1550
25,12,0,-241.25,-1.548,15.5,149.66,A2356raw6.mat_Line1551
25,12,0,-239.43,-1.549,15.51,164.46,A2356raw4.mat_Line1552
25,12,0,-240.08,-1.616,15.52,176.69,A2356raw4.mat_Line1553
25,12,0,-238,-1.711,15.53,189.59,A2356raw4.mat_Line1554
25,12,0,-234.86,-1.788,15.54,203.75,A2356raw4.mat_Line1555
25,12,0,-226.88,-2.192,15.58,244.84,A2356raw6.mat_Line1559
25,12,-0,-220.54,-2.193,15.59,267.94,A2356raw4.mat_Line1560
25,12,0,-221.34,-2.265,15.6,277.22,A2356raw4.mat_Line1561
25,12,0,-222.1,-2.347,15.61,285.89,A2356raw4.mat_Line1562
25,12,0,-224.04,-2.434,15.62,294.86,A2356raw4.mat_Line1563
25,12,0,-224.86,-2.506,15.63,304.17,A2356raw4.mat_Line1564
25,12,0,-218.8,-2.736,15.66,333.7,A2356raw4.mat_Line1567
25,12,0,-214.38,-2.812,15.67,342.39,A2356raw4.mat_Line1568
25,12,0,-211.56,-2.899,15.68,350.48,A2356raw4.mat_Line1569
25,12,0,-210.62,-2.978,15.69,358.54,A2356raw4.mat_Line1570
25,12,0,-211.58,-3.061,15.7,365.68,A2356raw4.mat_Line1571
25,12,0,-213.82,-3.143,15.71,371.7,A2356raw4.mat_Line1572
25,12,0,-219.57,-3.296,15.72,369.46,A2356raw6.mat_Line1573
25,12,0,-220.28,-3.375,15.73,376.92,A2356raw6.mat_Line1574
25,12,0,-222.37,-3.376,15.74,387.45,A2356raw4.mat_Line1575
25,12,0,-222.96,-3.544,15.76,397.36,A2356raw4.mat_Line1577
25,12,0,-220.67,-3.608,15.77,402.03,A2356raw4.mat_Line1578
25,12,0,-217.62,-3.694,15.78,406.1,A2356raw4.mat_Line1579
25,12,-0,-216.06,-3.786,15.79,410.31,A2356raw4.mat_Line1580
25,12,0,-214.45,-3.933,15.8,423.45,A2356raw6.mat_Line1581
25,12,0,-216.92,-3.94,15.81,418.96,A2356raw4.mat_Line1582
25,12,0,-219.67,-4.015,15.82,423.27,A2356raw4.mat_Line1583
25,12,0,-223.55,-4.095,15.83,426.2,A2356raw4.mat_Line1584
