ET,SA,SR,IA,FZ,V,P ,REIn,TS,FX,FY,MX,MY,MZ,REOut,RL,T,TX
s,rad,-,rad,N,m/s,Pa,m,1/m,N,N,Nm,Nm,Nm,m,m,m,m
0,-0.14603743,-0.981018815,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-36.18767003,2560.958726,-45.76836794,0,-30.94151986,-142.2449685,0.189586291,0,0
0,-0.141310624,-0.990905517,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-35.06592785,2504.455819,-45.70099035,0,-32.62919014,-2219.440003,0.187650881,0,0
0,-0.135796854,-0.97902165,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-28.54561729,2536.69424,-44.7231454,0,-31.5347036,779.1448197,0.190182621,0,0
0,-0.130523009,-0.98330676,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-35.15783162,2504.203379,-45.21967847,0,-36.16613342,370.4359368,0.189485488,0,0
0,-0.125750207,-0.988519791,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-32.95543267,2462.271946,-44.41801264,0,-38.01975502,-1919.549432,0.18859591,0,0
0,-0.119374284,-0.982925386,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-30.04712573,2453.368748,-44.14599656,0,-39.29307199,-290.0682875,0.189948066,0,0
0,-0.113480227,-0.995513811,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-34.90830341,2367.532796,-43.01989667,0,-43.76155869,-783.9886664,0.187653668,0,0
0,-0.109650836,-0.985394535,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-30.90000372,2383.532237,-43.00819365,0,-45.86398959,1063.932733,0.189946247,0,0
0,-0.103907732,-0.99008609,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-31.90936239,2323.347354,-41.96999698,0,-47.56316302,-892.7631011,0.189347735,0,0
0,-0.097291451,-0.994155714,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-30.46775854,2249.104024,-40.89046923,0,-50.62359009,43.25911018,0.188862549,0,0
0,-0.09239857,-0.996474594,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-31.24217266,2186.160603,-40.34838326,0,-52.55306215,-1703.619108,0.188556897,0,0
0,-0.087847893,-0.986902193,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-29.79808995,2178.588898,-39.49091933,0,-54.6813225,-2155.492322,0.190862463,0,0
0,-0.081213428,-0.987767433,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-30.55867172,2091.15133,-37.9347488,0,-57.31485274,-3037.413412,0.190960985,0,0
0,-0.076443447,-0.992771055,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-31.9589966,2004.439291,-36.8871142,0,-57.99343113,-181.5559408,0.190112114,0,0
0,-0.072050395,-0.983894547,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-32.86904836,1974.467596,-36.17589271,0,-59.61612446,1266.952998,0.192272056,0,0
0,-0.065345448,-0.988846841,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-32.01374378,1840.887525,-34.12694241,0,-59.7900412,-1142.37278,0.191572982,0,0
0,-0.059625091,-0.96704727,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-34.47519638,1808.113672,-31.79603316,0,-60.77102553,-893.6642679,0.196387178,0,0
0,-0.055397402,-0.99463638,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-37.76985218,1626.66958,-30.59875477,0,-58.00656431,-217.398155,0.191021057,0,0
0,-0.049683602,-0.98315605,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-38.29470742,1538.06829,-28.27572824,0,-57.04661298,-1263.465729,0.193544778,0,0
0,-0.044135012,-0.97529138,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-36.95930295,1427.971791,-26.27046574,0,-54.8679163,-1510.035645,0.19550433,0,0
0,-0.038898465,-0.994869158,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-43.8142168,1235.377408,-24.15229116,0,-50.87523412,-806.734148,0.191891341,0,0
0,-0.033338474,-0.989427272,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-51.32686568,1098.840573,-21.5572196,0,-49.18733998,689.1779565,0.19303228,0,0
0,-0.028024615,-0.976613175,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-40.81997824,969.0681436,-18.34453951,0,-41.33519562,1492.010381,0.196037329,0,0
0,-0.022588868,-0.992860334,9.75E-05,-1109.530979,11.16576623,83988.03235,0,0,-47.29368631,749.7250505,-15.18134221,0,-34.10666243,8.595607457,0.192883388,0,0
