RoadSpeed,TirePressure,InclinationAngle,NormalForce,SlipAngle,ElapsedTime,LateralForce,Index,FY
25,12,0,-246.48,11.171,14.02,-400.85,A2356raw14.mat_Line1403,-581.373846502605
25,12,0,-244.6,11.054,14.03,-393.56,A2356raw14.mat_Line1404,-576.601110713219
25,12,0,-244.44,10.927,14.04,-391.52,A2356raw14.mat_Line1405,-576.236853896966
25,12,0,-245.96,10.812,14.05,-395.09,A2356raw14.mat_Line1406,-580.170516888264
25,12,0,-253.07,10.696,14.06,-584.69,A2356raw15.mat_Line1407,-598.472444667478
25,12,0,-252.2,10.553,14.07,-411.54,A2356raw14.mat_Line1408,-596.290363009419
25,12,0,-254.84,10.428,14.08,-421.32,A2356raw14.mat_Line1409,-603.140247960812
25,12,0,-255.94,10.301,14.09,-429.1,A2356raw14.mat_Line1410,-606.030691199124
25,12,0,-255.92,10.175,14.1,-431.91,A2356raw14.mat_Line1411,-606.034036766193
25,12,0,-254.01,10.043,14.11,-428.68,A2356raw14.mat_Line1412,-601.167777079468
25,12,0,-250.5,9.911,14.12,-420.3,A2356raw14.mat_Line1413,-592.191822181889
25,12,0,-247.54,9.791,14.13,-410.05,A2356raw14.mat_Line1414,-584.642319209739
25,12,0,-245.06,9.675,14.14,-400.89,A2356raw14.mat_Line1415,-578.335534894034
25,12,0,-244.36,9.555,14.15,-396.37,A2356raw14.mat_Line1416,-576.598210768916
25,12,0,-245.92,9.439,14.16,-397.92,A2356raw14.mat_Line1417,-580.652591925147
25,12,0,-248.68,9.346,14.17,-404.73,A2356raw14.mat_Line1418,-587.784218367777
25,12,0,-251.16,9.223,14.18,-414.97,A2356raw14.mat_Line1419,-594.226171032599
25,12,0,-254.04,9.128,14.19,-426.93,A2356raw14.mat_Line1420,-601.69846310925
25,12,0,-255.44,9.035,14.2,-437.98,A2356raw14.mat_Line1421,-605.363120182812
25,12,0,-255.99,8.942,14.21,-443.28,A2356raw14.mat_Line1422,-606.836544990836
25,12,0,-253.83,8.837,14.22,-440.96,A2356raw14.mat_Line1423,-601.321066897608
25,12,0,-251.74,8.763,14.23,-431.99,A2356raw14.mat_Line1424,-595.975865058062
25,12,0,-248.2,8.68,14.24,-418.92,A2356raw14.mat_Line1425,-586.91403799026
25,12,0,-245.3,8.603,14.25,-406.62,A2356raw14.mat_Line1426,-579.511322685886
25,12,0,-244.62,8.521,14.26,-398.98,A2356raw14.mat_Line1427,-577.815593255251
25,12,0,-244.84,8.437,14.27,-398.18,A2356raw14.mat_Line1428,-578.430884014155
25,12,0,-246.74,8.366,14.28,-404.99,A2356raw14.mat_Line1429,-583.353039819102
25,12,0,-249.63,8.282,14.29,-417.25,A2356raw14.mat_Line1430,-590.839375661202
25,12,0,-252.51,8.203,14.3,-431.85,A2356raw14.mat_Line1431,-598.313793159772
25,12,0,-255.4,8.114,14.31,-446.01,A2356raw14.mat_Line1432,-605.838107061166
25,12,0,-255.95,8.026,14.32,-454.1,A2356raw14.mat_Line1433,-607.322736625293
25,12,0,-255.09,7.947,14.33,-454.59,A2356raw14.mat_Line1434,-605.15630520893
25,12,0,-252.26,7.852,14.34,-446.21,A2356raw14.mat_Line1435,-597.916679491454
25,12,0,-248.25,7.774,14.35,-432.85,A2356raw14.mat_Line1436,-587.639659840067
25,12,0,-244.64,7.688,14.36,-418.85,A2356raw14.mat_Line1437,-578.422363339326
25,12,0,-243.2,7.607,14.37,-408.58,A2356raw14.mat_Line1438,-574.786626370333
25,12,0,-243.82,7.513,14.38,-407.62,A2356raw14.mat_Line1439,-576.449552195937
25,12,0,-246.08,7.434,14.39,-415.99,A2356raw14.mat_Line1440,-582.318390063022
25,12,0,-249.74,7.35,14.4,-431.21,A2356raw14.mat_Line1441,-591.810931254852
25,12,0,-253.39,7.265,14.41,-449.08,A2356raw14.mat_Line1442,-601.306255672501
25,12,0,-255.78,7.174,14.42,-464.8,A2356raw14.mat_Line1443,-607.570739376063
25,12,0,-256.74,7.086,14.43,-474.14,A2356raw14.mat_Line1444,-610.138730035256
25,12,0,-255.32,6.995,14.44,-474.14,A2356raw14.mat_Line1445,-606.545857452286
25,12,0,-252.48,6.91,14.45,-465.29,A2356raw14.mat_Line1446,-599.279207671681
25,12,0,-248.72,6.824,14.46,-449.91,A2356raw14.mat_Line1447,-589.65408334047
25,12,0,-245,6.746,14.47,-433.74,A2356raw14.mat_Line1448,-580.147859566329
25,12,0,-243.55,6.66,14.48,-422.54,A2356raw14.mat_Line1449,-576.503439804539
25,12,0,-243.59,6.584,14.49,-420.98,A2356raw14.mat_Line1450,-576.682570674034
25,12,0,-245.51,6.499,14.5,-428.25,A2356raw14.mat_Line1451,-581.710721547639
25,12,0,-248.95,6.422,14.51,-442.39,A2356raw14.mat_Line1452,-590.662634881624
25,12,0,-252.13,6.343,14.52,-457.94,A2356raw14.mat_Line1453,-598.97013208794
25,12,0,-254.86,6.277,14.53,-471.79,A2356raw14.mat_Line1454,-606.118451158256
25,12,0,-255.55,6.199,14.54,-479.1,A2356raw14.mat_Line1455,-608.002287915746
25,12,0,-254.74,6.118,14.55,-476.47,A2356raw14.mat_Line1456,-606.001549422053
25,12,0,-252.13,6.05,14.56,-465.76,A2356raw14.mat_Line1457,-599.323455425201
25,12,0,-248.13,5.958,14.57,-450.21,A2356raw14.mat_Line1458,-589.096066106396
25,12,0,-245.14,5.891,14.58,-435.12,A2356raw14.mat_Line1459,-581.46667740402
25,12,0,-243.51,5.815,14.59,-425.15,A2356raw14.mat_Line1460,-577.365473440624
25,12,0,-244.11,5.736,14.6,-423.89,A2356raw14.mat_Line1461,-579.016847918091
